Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
70.454,3.79556,9310.24609,0.02905
70.554,3.80387,9311.58008,0.02911
70.654,3.81187,9317.94043,0.02918
70.754,3.82037,9327.38281,0.02924
70.854,3.82856,9329.4248,0.02931
70.954,3.83675,9337.95605,0.02937
71.054,3.8455,9350.08496,0.02944
71.154,3.85381,9353.11133,0.02951
71.254,3.86212,9356.87305,0.02957
71.354,3.87031,9362.90332,0.02964
71.454,3.87875,9371.47168,0.0297
71.554,3.88712,9375.84668,0.02977
71.654,3.89519,9381.26855,0.02983
71.754,3.90381,9391.79492,0.0299
71.854,3.91225,9395.68652,0.02997
71.954,3.92025,9401.98926,0.03003
72.054,3.92887,9411.50977,0.0301
72.154,3.93719,9415.99414,0.03016
72.254,3.94531,9419.22266,0.03023
72.354,3.95356,9425.64062,0.03029
72.454,3.96187,9434.79688,0.03036
72.554,3.9705,9442.62793,0.03043
72.654,3.97875,9449.3125,0.03049
72.754,3.98712,9454.92188,0.03056
72.854,3.99562,9458.42676,0.03062
72.954,4.00356,9461.35156,0.03069
73.054,4.01187,9470.69629,0.03075
73.154,4.02044,9477.52246,0.03082
73.254,4.02869,9481.79297,0.03088
73.354,4.03712,9490.13281,0.03095
73.454,4.0455,9497.68164,0.03102
73.554,4.05375,9498.59082,0.03108
73.654,4.06194,9507.64844,0.03115
73.754,4.07037,9514.83203,0.03121
73.854,4.07875,9517.70605,0.03128
73.954,4.08681,9523.0918,0.03134
74.054,4.09537,9533.95215,0.03141
74.154,4.10381,9539.58594,0.03148
74.254,4.11219,9543.50098,0.03154
74.354,4.12037,9548.32324,0.03161
74.454,4.12881,9555.02441,0.03167
74.554,4.13694,9556.10059,0.03174
74.654,4.14506,9563.50879,0.0318
74.754,4.15381,9576.51074,0.03187
74.854,4.16231,9579.5918,0.03194
74.954,4.17037,9582.54199,0.032
75.054,4.17881,9590.91113,0.03207
75.154,4.187,9594.55566,0.03213
75.254,4.19537,9601.54102,0.0322
75.354,4.20362,9607.10547,0.03226
75.454,4.212,9614.1582,0.03233
75.554,4.2205,9619.47852,0.03239
75.654,4.22862,9624.61133,0.03246
75.754,4.23706,9632.87012,0.03253
75.854,4.24562,9637.39941,0.03259
75.954,4.25369,9639.62793,0.03266
76.054,4.262,9646.45898,0.03272
76.154,4.27025,9649.9209,0.03279
76.254,4.27862,9657.61133,0.03285
76.354,4.28712,9666.40137,0.03292
76.454,4.29562,9673.66211,0.03299
76.554,4.30387,9672.46777,0.03305
76.654,4.31181,9678.87207,0.03311
76.754,4.32025,9686.75879,0.03318
76.854,4.32869,9691.05566,0.03325
76.954,4.33681,9696.7627,0.03331
77.054,4.3455,9707.29004,0.03338
77.154,4.35387,9710.48145,0.03344
77.254,4.362,9711.5,0.03351
77.354,4.37037,9719.62305,0.03357
77.454,4.37881,9727.05078,0.03364
77.554,4.38706,9727.7373,0.03371
77.654,4.39512,9732.61133,0.03377
77.754,4.40362,9742.6709,0.03384
77.854,4.41212,9746.25488,0.0339
77.954,4.42037,9753.31445,0.03397
78.054,4.42894,9760.84277,0.03404
78.154,4.43719,9763.04883,0.0341
78.254,4.44531,9767.0957,0.03416
78.354,4.4535,9770.98535,0.03423
78.454,4.46187,9781.12891,0.0343
78.554,4.4705,9786.89453,0.03436
78.654,4.47869,9791.7041,0.03443
78.754,4.48712,9796.92383,0.03449
78.854,4.4955,9800.15723,0.03456
78.954,4.50356,9803.25391,0.03462
79.054,4.51206,9812.10352,0.03469
79.154,4.52037,9815.00391,0.03476
79.254,4.52869,9820.01465,0.03482
79.354,4.53706,9827.02441,0.03489
79.454,4.54544,9834.01953,0.03495
79.554,4.55387,9836.51465,0.03502
79.654,4.56194,9841.79199,0.03508
79.754,4.57037,9847.90137,0.03515
79.854,4.57862,9849.63672,0.03521
79.954,4.58669,9855.13867,0.03528
80.054,4.5955,9867.94531,0.03535
80.154,4.60394,9871.66797,0.03541
80.254,4.61206,9871.77832,0.03548
80.354,4.62031,9877.14355,0.03554
80.454,4.62869,9883.93164,0.03561
80.554,4.637,9886.32031,0.03567
80.654,4.64519,9893.17285,0.03574
80.754,4.65381,9902.02441,0.03581
80.854,4.66231,9904.24219,0.03587
80.954,4.67025,9907.39648,0.03594
81.054,4.67881,9915.76562,0.036
81.154,4.68719,9919.96484,0.03607
81.254,4.69537,9923.82617,0.03613
81.354,4.70362,9927.75195,0.0362
81.454,4.71194,9935.26758,0.03626
81.554,4.72037,9939.6377,0.03633
81.654,4.72869,9946.58496,0.0364
81.754,4.73719,9952.87402,0.03646
81.854,4.74562,9954.53613,0.03653
81.954,4.75362,9955.86523,0.03659
82.054,4.76194,9962.91309,0.03666
82.154,4.77031,9967.85254,0.03672
82.254,4.77862,9972.9541,0.03679
82.354,4.78712,9980.64453,0.03686
82.454,4.79556,9986.70312,0.03692
82.554,4.80375,9985.47266,0.03699
82.654,4.81181,9991.74219,0.03705
82.754,4.82037,10001,0.03712
82.854,4.82875,10002.35254,0.03718
82.954,4.83681,10005.9834,0.03725
83.054,4.84544,10015.75098,0.03732
83.154,4.85381,10019.17676,0.03738
83.254,4.86206,10021.56055,0.03745
83.354,4.87037,10027.00488,0.03751
83.454,4.87887,10033.0625,0.03758
83.554,4.88706,10033.5293,0.03764
83.654,4.89506,10037.58203,0.03771
83.754,4.90369,10048.50586,0.03777
83.854,4.91231,10052.69824,0.03784
83.954,4.92031,10055.08203,0.03791
84.054,4.92894,10061.7832,0.03797
84.154,4.93712,10064.74609,0.03804
84.254,4.94519,10067.09375,0.0381
84.354,4.95356,10073.8418,0.03817
84.454,4.962,10081.69629,0.03823
84.554,4.97056,10084.9834,0.0383
84.654,4.97869,10089.16699,0.03836
84.754,4.987,10094.35156,0.03843
84.854,4.99556,10097.75391,0.0385
84.954,5.00369,10101.72656,0.03856
85.054,5.012,10106.53711,0.03863
85.154,5.02037,10109.6748,0.03869
85.254,5.02862,10113.89746,0.03876
85.354,5.037,10121.39453,0.03882
85.454,5.04556,10128.97754,0.03889
85.554,5.05394,10129.53418,0.03896
85.654,5.06194,10133.25195,0.03902
85.754,5.07037,10139.43848,0.03909
85.854,5.07862,10140.28418,0.03915
85.954,5.08675,10146.89844,0.03922
86.054,5.0955,10157.22559,0.03928
86.154,5.10387,10159.06348,0.03935
86.254,5.11206,10159.63379,0.03941
86.354,5.12031,10164.30859,0.03948
86.454,5.12875,10171.0332,0.03955
86.554,5.13706,10172.86621,0.03961
86.654,5.14512,10177.17676,0.03968
86.754,5.15381,10186.15723,0.03974
86.854,5.16219,10187.87109,0.03981
86.954,5.17019,10191.07031,0.03987
87.054,5.17887,10200.05859,0.03994
87.154,5.18719,10202.74609,0.04001
87.254,5.19544,10204.84082,0.04007
87.354,5.20356,10208.10352,0.04014
87.454,5.21181,10214.43652,0.0402
87.554,5.22044,10220.95605,0.04027
87.654,5.22869,10225.85547,0.04033
87.754,5.23706,10230.0293,0.0404
87.854,5.24562,10232.65332,0.04047
87.954,5.25356,10233.86914,0.04053
88.054,5.26194,10240.32617,0.0406
88.154,5.27044,10246.39258,0.04066
88.254,5.27875,10248.56641,0.04073
88.354,5.28719,10254.46875,0.04079
88.454,5.2955,10259.82617,0.04086
88.554,5.30375,10259.09082,0.04092
88.654,5.31194,10266.67383,0.04099
88.754,5.32044,10272.86133,0.04106
88.854,5.32875,10272.92676,0.04112
88.954,5.33681,10276.88379,0.04118
89.054,5.34537,10285.97656,0.04125
89.154,5.35387,10290.39355,0.04132
89.254,5.36212,10292.23633,0.04138
89.354,5.37037,10295.60059,0.04145
89.454,5.37875,10300.35059,0.04151
89.554,5.387,10300.87402,0.04158
89.654,5.39506,10305.77344,0.04164
89.754,5.40381,10316.49707,0.04171
89.854,5.41231,10318.49414,0.04178
89.954,5.42037,10319.86816,0.04184
90.054,5.42887,10325.93945,0.04191
90.154,5.43706,10328.63184,0.04197
90.254,5.44531,10332.33203,0.04204
90.354,5.45356,10337.30762,0.0421
90.454,5.462,10343.45703,0.04217
90.554,5.4705,10346.15527,0.04224
90.654,5.47862,10350.81738,0.0423
90.754,5.48706,10357.0957,0.04237
90.854,5.49562,10359.87109,0.04244
90.954,5.50369,10360.1416,0.0425
91.054,5.512,10365.72949,0.04256
91.154,5.52031,10368.40039,0.04263
91.254,5.52856,10372.20312,0.04269
91.354,5.53712,10380.83594,0.04276
91.454,5.54556,10385.99316,0.04283
91.554,5.55387,10384.5332,0.04289
91.654,5.56187,10388.83301,0.04296
91.754,5.57025,10394.78418,0.04302
91.854,5.57869,10397.70215,0.04309
91.954,5.58681,10401.58301,0.04315
92.054,5.5955,10410.00293,0.04322
92.154,5.60387,10412.97168,0.04329
92.254,5.612,10412.62012,0.04335
92.354,5.62031,10418.08691,0.04342
92.454,5.62881,10423.91211,0.04348
92.554,5.63706,10423.57422,0.04355
92.654,5.64519,10427.31055,0.04361
92.754,5.65369,10435.94238,0.04368
92.854,5.66219,10438.25586,0.04375
92.954,5.67031,10442.02246,0.04381
93.054,5.67894,10448.03223,0.04388
93.154,5.68719,10449.31152,0.04394
93.254,5.69531,10452.10254,0.04401
93.354,5.70356,10455.80176,0.04407
93.454,5.71194,10462.67676,0.04414
93.554,5.72056,10467.64258,0.04421
93.654,5.72875,10469.77832,0.04427
93.754,5.73706,10474.01953,0.04434
93.854,5.7455,10475.95605,0.0444
93.954,5.75356,10478.01562,0.04447
94.054,5.762,10484.85742,0.04453
94.154,5.77037,10486.74805,0.0446
94.254,5.77869,10489.85645,0.04466
94.354,5.78706,10495.71289,0.04473
94.454,5.7955,10501.22559,0.0448
94.554,5.80387,10502.22754,0.04486
94.654,5.81194,10506.05664,0.04493
94.754,5.82037,10511.18457,0.04499
94.854,5.82869,10511.35254,0.04506
94.954,5.83669,10514.83496,0.04512
95.054,5.84544,10525.92188,0.04519
95.154,5.85387,10528.07129,0.04526
95.254,5.86212,10527.56738,0.04532
95.354,5.87037,10531.85938,0.04539
95.454,5.87875,10536.3252,0.04545
95.554,5.88694,10536.64355,0.04552
95.654,5.89519,10542.07422,0.04558
95.754,5.90381,10549.98145,0.04565
95.854,5.91231,10551.03906,0.04572
95.954,5.92025,10552.9043,0.04578
96.054,5.92881,10559.44727,0.04585
96.154,5.93719,10563.57129,0.04591
96.254,5.94537,10565.00879,0.04598
96.354,5.95362,10567.74121,0.04604
96.454,5.96194,10573.3584,0.04611
96.554,5.97037,10576.39941,0.04617
96.654,5.97869,10581.62402,0.04624
96.754,5.98712,10587.11621,0.04631
96.854,5.99562,10587.29102,0.04637
96.954,6.00362,10587.82715,0.04644
97.054,6.01187,10593.00098,0.0465
97.154,6.02031,10597.13477,0.04657
97.254,6.02869,10601.42188,0.04663
97.354,6.03712,10606.47852,0.0467
97.454,6.04556,10610.37598,0.04677
97.554,6.05381,10609.23242,0.04683
97.654,6.06181,10614.02051,0.04689
97.754,6.07037,10621.4668,0.04696
97.854,6.07875,10622.30957,0.04703
97.954,6.08681,10624.24219,0.04709
98.054,6.09544,10632.4834,0.04716
98.154,6.10375,10634.62598,0.04722
98.254,6.11206,10636.23145,0.04729
98.354,6.12044,10640.88379,0.04735
98.454,6.12881,10644.29199,0.04742
98.554,6.13706,10643.17773,0.04749
98.654,6.14506,10647.60254,0.04755
98.754,6.15369,10656.23535,0.04762
98.854,6.16225,10659.00879,0.04768
98.954,6.17031,10660.77539,0.04775
99.054,6.17894,10665.89453,0.04782
99.154,6.18712,10667.35156,0.04788
99.254,6.19525,10669.45996,0.04794
99.354,6.20356,10674.14551,0.04801
99.454,6.21194,10680.34668,0.04808
99.554,6.2205,10682.74902,0.04814
99.654,6.22869,10685.875,0.04821
99.754,6.237,10689.97168,0.04827
99.854,6.2455,10692.25586,0.04834
99.954,6.25369,10694.04395,0.0484
100.054,6.262,10698.60254,0.04847
100.154,6.27044,10700.72949,0.04854
100.254,6.27862,10703.05762,0.0486
100.354,6.287,10709.51562,0.04867
100.454,6.29556,10715.34766,0.04873
100.554,6.30394,10713.84668,0.0488
100.654,6.31194,10716.69336,0.04886
100.754,6.32037,10722.0166,0.04893
100.854,6.32856,10722.01465,0.04899
100.954,6.33675,10727.2666,0.04906
101.054,6.3455,10736.65332,0.04913
101.154,6.35394,10737.59082,0.04919
101.254,6.36206,10736.04199,0.04926
101.354,6.37025,10739.57617,0.04932
101.454,6.37869,10745.71191,0.04939
101.554,6.38706,10746.89551,0.04945
101.654,6.39512,10748.38574,0.04952
101.754,6.40381,10756.62598,0.04959
101.854,6.41225,10757.64844,0.04965
101.954,6.42019,10759.59473,0.04972
102.054,6.42887,10766.93164,0.04978
102.154,6.43719,10768.5957,0.04985
102.254,6.44537,10768.98633,0.04991
102.354,6.45356,10771.54492,0.04998
102.454,6.46187,10777.22754,0.05004
102.554,6.47044,10782.06934,0.05011
102.654,6.47875,10786.41406,0.05018
102.754,6.48712,10788.83887,0.05024
102.854,6.49562,10789.44238,0.05031
102.954,6.5035,10788.50879,0.05037
103.054,6.51194,10795.94043,0.05044
103.154,6.52037,10799.17285,0.0505
103.254,6.52869,10801.30762,0.05057
103.354,6.53712,10805.37793,0.05064
103.454,6.5455,10810.71387,0.0507
103.554,6.55375,10808.95508,0.05077
103.654,6.56194,10815.06445,0.05083
103.754,6.57037,10819.11816,0.0509
103.854,6.57875,10818.57227,0.05096
103.954,6.58675,10821.35254,0.05103
104.054,6.59537,10829.09277,0.05109
104.154,6.60381,10832.66895,0.05116
104.254,6.61212,10833.01758,0.05123
104.354,6.62044,10835.28516,0.05129
104.454,6.62881,10839.00293,0.05136
104.554,6.63694,10837.81348,0.05142
104.654,6.64506,10842.20215,0.05149
104.754,6.65381,10851.7793,0.05155
104.854,6.66231,10852.5459,0.05162
104.954,6.67037,10852.43262,0.05169
105.054,6.67887,10858.16699,0.05175
105.154,6.68706,10859.19336,0.05182
105.254,6.69531,10863.01367,0.05188
105.354,6.70369,10865.70703,0.05195
105.454,6.712,10869.86035,0.05201
105.554,6.7205,10872,0.05208
105.654,6.72862,10875.33789,0.05214
105.754,6.73706,10880.39551,0.05221
105.854,6.74562,10882.31445,0.05228
105.954,6.75362,10880.89746,0.05234
106.054,6.762,10885.53516,0.05241
106.154,6.77031,10887.84277,0.05247
106.254,6.77862,10891.36133,0.05254
106.354,6.78712,10897.71875,0.0526
106.454,6.79556,10901.02832,0.05267
106.554,6.80387,10898.75391,0.05274
106.654,6.81187,10901.5332,0.0528
106.754,6.82025,10907.0166,0.05287
106.854,6.82862,10908.29004,0.05293
106.954,6.83675,10911.53906,0.053
107.054,6.8455,10919.45508,0.05306
107.154,6.85387,10919.86035,0.05313
107.254,6.86206,10919.04492,0.05319
107.354,6.87031,10923.28711,0.05326
107.454,6.87881,10928.01367,0.05333
107.554,6.88712,10926.09863,0.05339
107.654,6.89512,10929.17676,0.05345
107.754,6.90369,10936.88965,0.05352
107.854,6.91212,10937.1709,0.05359
107.954,6.92031,10940.78418,0.05365
108.054,6.92894,10945.92383,0.05372
108.154,6.93719,10946.15918,0.05379
108.254,6.94531,10947.26074,0.05385
108.354,6.9535,10949.55566,0.05391
108.454,6.96187,10956.06055,0.05398
108.554,6.97044,10958.99902,0.05405
108.654,6.97869,10961.48242,0.05411
108.754,6.98712,10964.67285,0.05418
108.854,6.9955,10964.43262,0.05425
108.954,7.00362,10966.0166,0.05431
109.054,7.01206,10972.0166,0.05438
109.154,7.02037,10972.68945,0.05444
109.254,7.02869,10973.91309,0.05451
109.354,7.037,10978.44141,0.05457
109.454,7.0455,10983.97559,0.05464
109.554,7.05387,10983.43164,0.0547
109.654,7.06194,10985.97656,0.05477
109.754,7.07044,10990.78613,0.05484
109.854,7.07869,10989.97949,0.0549
109.954,7.08662,10991.68652,0.05496
110.054,7.09544,11001.77441,0.05503
110.154,7.10394,11003.52344,0.0551
110.254,7.11212,11001.15332,0.05516
110.354,7.12037,11003.97461,0.05523
110.454,7.12869,11007.21387,0.05529
110.554,7.13694,11007.30273,0.05536
110.654,7.14519,11011.9541,0.05542
110.754,7.15381,11019.16309,0.05549
110.854,7.16231,11018.42188,0.05556
110.954,7.17031,11019.70508,0.05562
111.054,7.17881,11024.49414,0.05569
111.154,7.18712,11026.91504,0.05575
111.254,7.19537,11028.46289,0.05582
111.354,7.20362,11030.03418,0.05588
111.454,7.21194,11034.79004,0.05595
111.554,7.22037,11036.97461,0.05602
111.654,7.22869,11041.90332,0.05608
111.754,7.23712,11044.80469,0.05615
111.854,7.24562,11044.77637,0.05621
111.954,7.25362,11043.94336,0.05628
112.054,7.26187,11048.5918,0.05634
112.154,7.27031,11051.14648,0.05641
112.254,7.27869,11054.6582,0.05647
112.354,7.28719,11059.18262,0.05654
112.454,7.29562,11062,0.05661
112.554,7.30381,11059.27051,0.05667
112.654,7.31181,11062.82227,0.05674
112.754,7.32037,11069.34863,0.0568
112.854,7.32875,11068.81055,0.05687
112.954,7.33681,11070.07715,0.05693
113.054,7.34544,11076.98926,0.057
113.154,7.35381,11078.8125,0.05707
113.254,7.36206,11078.73047,0.05713
113.354,7.37044,11082.63574,0.0572
113.454,7.37881,11084.99316,0.05726
113.554,7.38706,11083.45703,0.05733
113.654,7.39506,11086.05664,0.05739
113.754,7.40369,11094.39648,0.05746
113.854,7.41225,11096.29395,0.05753
113.954,7.42031,11096.29297,0.05759
114.054,7.42894,11100.37305,0.05766
114.154,7.43712,11100.64258,0.05772
114.254,7.44519,11101.74023,0.05779
114.354,7.45362,11107.37988,0.05785
114.454,7.462,11111.20312,0.05792
114.554,7.47056,11112.83301,0.05799
114.654,7.47869,11114.57129,0.05805
114.754,7.487,11117.21484,0.05812
114.854,7.49556,11119.79102,0.05818
114.954,7.50369,11119.76465,0.05825
115.054,7.512,11123.31543,0.05831
115.154,7.52044,11125.04785,0.05838
115.254,7.52862,11125.84863,0.05844
115.354,7.537,11131.0918,0.05851
115.454,7.54562,11137.42773,0.05858
115.554,7.55394,11134.21875,0.05864
115.654,7.56194,11135.68359,0.05871
115.754,7.57031,11140.32715,0.05877
115.854,7.57856,11139.71777,0.05884
115.954,7.58675,11144.20312,0.0589
116.054,7.5955,11152.31055,0.05897
116.154,7.60394,11151.74121,0.05904
116.254,7.61212,11150.35352,0.0591
116.354,7.62031,11152.13965,0.05916
116.454,7.62875,11157.63477,0.05923
116.554,7.63712,11157.44824,0.0593
116.654,7.64519,11158.58789,0.05936
116.754,7.65381,11165.24219,0.05943
116.854,7.66225,11165.86133,0.0595
116.954,7.67019,11166.16992,0.05956
117.054,7.67894,11173.77148,0.05963
117.154,7.68719,11173.86719,0.05969
117.254,7.69537,11173.10742,0.05976
117.354,7.70356,11174.7373,0.05982
117.454,7.71181,11179.79004,0.05989
117.554,7.72044,11183.95703,0.05995
117.654,7.72875,11186.70215,0.06002
117.754,7.73712,11188.5498,0.06008
117.854,7.74562,11188.64258,0.06015
117.954,7.75356,11187.41113,0.06021
118.054,7.76187,11192.81055,0.06028
118.154,7.77037,11196.32422,0.06035
118.254,7.77869,11197.02148,0.06041
118.354,7.78712,11200.60352,0.06048
118.454,7.7955,11203.47266,0.06054
118.554,7.80375,11201.67676,0.06061
118.654,7.81194,11207.41992,0.06067
118.754,7.82044,11211.02344,0.06074
118.854,7.82875,11208.99023,0.06081
118.954,7.83675,11210.26562,0.06087
119.054,7.84537,11218.60645,0.06094
119.154,7.85387,11220.93457,0.061
119.254,7.86212,11220.28125,0.06107
119.354,7.87037,11221.15234,0.06113
119.454,7.87881,11224.48242,0.0612
119.554,7.887,11223.0625,0.06126
119.654,7.89506,11225.88477,0.06133
119.754,7.90381,11234.71289,0.0614
119.854,7.91231,11234.25781,0.06146
119.954,7.92037,11233.75195,0.06153
120.054,7.92881,11237.80566,0.06159
120.154,7.93706,11238.84375,0.06166
120.254,7.94537,11241.93555,0.06172
120.354,7.95362,11243.29102,0.06179
120.454,7.96194,11246.39062,0.06185
120.554,7.97044,11248.85938,0.06192
120.654,7.97856,11250.56641,0.06199
120.754,7.987,11254.79102,0.06205
120.854,7.99562,11257.42676,0.06212
120.954,8.00369,11254.9248,0.06218
121.054,8.012,11258.33789,0.06225
121.154,8.02031,11259.55469,0.06231
121.254,8.02862,11261.69824,0.06238
121.354,8.03712,11268.00586,0.06245
121.454,8.04556,11270.65918,0.06251
121.554,8.05387,11267.40527,0.06258
121.654,8.06187,11270.01465,0.06264
121.754,8.07031,11274.72852,0.06271
121.854,8.07869,11275.30469,0.06277
121.954,8.08681,11277.23047,0.06284
122.054,8.0955,11283.12402,0.06291
122.154,8.10381,11283.74023,0.06297
122.254,8.112,11282.26172,0.06304
122.354,8.12037,11286.81055,0.0631
122.454,8.12881,11290.24902,0.06317
122.554,8.13712,11288.06152,0.06323
122.654,8.14519,11289.75098,0.0633
122.754,8.15369,11296.57812,0.06336
122.854,8.16219,11296.40723,0.06343
122.954,8.17037,11299.21094,0.0635
123.054,8.17894,11303.23242,0.06356
123.154,8.18719,11302.05078,0.06363
123.254,8.19531,11302.05273,0.06369
123.354,8.2035,11304.44922,0.06376
123.454,8.21194,11311.37695,0.06382
123.554,8.22056,11313.15039,0.06389
123.654,8.22869,11314.11523,0.06396
123.754,8.23712,11316.70508,0.06402
123.854,8.2455,11316.25586,0.06409
123.954,8.25362,11317.01465,0.06415
124.054,8.26206,11322.16602,0.06422
124.154,8.27037,11322.15137,0.06428
124.254,8.27869,11323.30762,0.06435
124.354,8.287,11326.83984,0.06441
124.454,8.2955,11331.61035,0.06448
124.554,8.30394,11330.9082,0.06455
124.654,8.31194,11332.82227,0.06461
124.754,8.32044,11335.33008,0.06468
124.854,8.32862,11333.72168,0.06474
124.954,8.33669,11335.98535,0.06481
125.054,8.34544,11344.69531,0.06487
125.154,8.35394,11346.90039,0.06494
125.254,8.36212,11343.48145,0.06501
125.354,8.37037,11345.22852,0.06507
125.454,8.37869,11348.49512,0.06514
125.554,8.38694,11347.43945,0.0652
125.654,8.39519,11351.74805,0.06527
125.754,8.40381,11357.62891,0.06533
125.854,8.41225,11355.99902,0.0654
125.954,8.42025,11356.68555,0.06546
126.054,8.42881,11361.2373,0.06553
126.154,8.43719,11363.58203,0.0656
126.254,8.44544,11364.38965,0.06566
126.354,8.45362,11363.97363,0.06573
126.454,8.46194,11367.84375,0.06579
126.554,8.47037,11369.49023,0.06586
126.654,8.47869,11373.95801,0.06592
126.754,8.48712,11377.00195,0.06599
126.854,8.49562,11375.85547,0.06606
126.954,8.50362,11374.14453,0.06612
127.054,8.51187,11377.97168,0.06619
127.154,8.52031,11380.7373,0.06625
127.254,8.52875,11382.72656,0.06632
127.354,8.53712,11386.63574,0.06638
127.454,8.54556,11388.65234,0.06645
127.554,8.55375,11385.27734,0.06651
127.654,8.56181,11388.36426,0.06658
127.754,8.57037,11394.92871,0.06665
127.854,8.57875,11393.08496,0.06671
127.954,8.58681,11394.07129,0.06678
128.054,8.5955,11401.02051,0.06684
128.154,8.60381,11400.74609,0.06691
128.254,8.61206,11400.79004,0.06697
128.354,8.62044,11404.09473,0.06704
128.454,8.62881,11404.86816,0.06711
128.554,8.63706,11403.37988,0.06717
128.654,8.64506,11404.80371,0.06723
128.754,8.65369,11412.81836,0.0673
128.854,8.66231,11414.09375,0.06737
128.954,8.67037,11413.81055,0.06743
129.054,8.67894,11416.65625,0.0675
129.154,8.68712,11417.17871,0.06757
129.254,8.69519,11417.24414,0.06763
129.354,8.70356,11421.08398,0.06769
129.454,8.71194,11425.44434,0.06776
129.554,8.7205,11426.03711,0.06783
129.654,8.72869,11427.22363,0.06789
129.754,8.737,11430.0625,0.06796
129.854,8.74556,11431.02832,0.06803
129.954,8.75369,11431.15723,0.06809
130.054,8.762,11433.37109,0.06815
130.154,8.77037,11434.06445,0.06822
130.254,8.77856,11434.78418,0.06828
130.354,8.787,11440.10156,0.06835
130.454,8.79562,11445.08301,0.06842
130.554,8.80394,11441.4248,0.06848
130.654,8.81194,11442.15039,0.06855
130.754,8.82031,11445.75977,0.06861
130.854,8.82856,11444.6875,0.06868
130.954,8.83675,11448.2207,0.06874
131.054,8.8455,11456.15918,0.06881
131.154,8.85394,11455.33203,0.06888
131.254,8.86212,11452.9502,0.06894
131.354,8.87025,11454.39941,0.06901
131.454,8.87875,11459.06934,0.06907
131.554,8.88712,11458.61719,0.06914
131.654,8.89519,11459.34082,0.0692
131.754,8.90381,11465.66602,0.06927
131.854,8.91219,11464.03516,0.06934
131.954,8.92025,11465.06445,0.0694
132.054,8.92894,11471.33301,0.06947
132.154,8.93719,11470.86816,0.06953
132.254,8.94537,11469.9375,0.0696
132.354,8.95356,11470.53223,0.06966
132.454,8.96181,11475.54102,0.06973
132.554,8.9705,11479.18359,0.0698
132.654,8.97875,11481.33105,0.06986
132.754,8.98712,11481.99707,0.06993
132.854,8.99562,11481.39258,0.06999
132.954,9.00356,11479.9668,0.07006
133.054,9.01194,11484.76562,0.07012
133.154,9.02044,11487.95703,0.07019
133.254,9.02869,11487.17188,0.07025
133.354,9.03712,11490.07227,0.07032
133.454,9.0455,11493.6416,0.07039
133.554,9.05375,11490.49902,0.07045
133.654,9.06194,11495.33008,0.07052
133.754,9.07037,11498.08203,0.07058
133.854,9.07875,11496.38672,0.07065
133.954,9.08675,11497.00684,0.07071
134.054,9.09531,11503.28809,0.07078
134.154,9.10387,11506.05762,0.07085
134.254,9.11219,11505.60254,0.07091
134.354,9.12037,11505.05176,0.07098
134.454,9.12881,11507.44531,0.07104
134.554,9.13694,11505.16797,0.07111
134.654,9.14506,11507.95801,0.07117
134.754,9.15381,11517.11328,0.07124
134.854,9.16231,11515.5293,0.07131
134.954,9.17031,11513.77148,0.07137
135.054,9.17881,11517.625,0.07144
135.154,9.18706,11518.52637,0.0715
135.254,9.19537,11520.50879,0.07157
135.354,9.20369,11521.9541,0.07163
135.454,9.212,11524.1416,0.0717
135.554,9.2205,11525.8125,0.07176
135.654,9.22856,11526.78027,0.07183
135.754,9.237,11530.88477,0.07189
135.854,9.24569,11532.73242,0.07196
135.954,9.25369,11529.1748,0.07203
136.054,9.262,11531.75879,0.07209
136.154,9.27025,11532.37402,0.07216
136.254,9.27862,11534.75,0.07222
136.354,9.28712,11540.57617,0.07229
136.454,9.29562,11542.65137,0.07236
136.554,9.30387,11537.99414,0.07242
136.654,9.31187,11540.00879,0.07248
136.754,9.32025,11543.90234,0.07255
136.854,9.32869,11544.77051,0.07262
136.954,9.33681,11545.99805,0.07268
137.054,9.34544,11551.96973,0.07275
137.154,9.35387,11551.35156,0.07282
137.254,9.362,11549.2832,0.07288
137.354,9.37031,11552.60742,0.07294
137.454,9.37881,11556.23242,0.07301
137.554,9.38712,11552.89453,0.07308
137.654,9.39512,11554.33789,0.07314
137.754,9.40362,11560.50293,0.07321
137.854,9.41219,11561.05762,0.07327
137.954,9.42037,11562.33984,0.07334
138.054,9.42894,11565.75,0.07341
138.154,9.43719,11564.52148,0.07347
138.254,9.44537,11564.83398,0.07354
138.354,9.4535,11565.16406,0.0736
138.454,9.46194,11571.19922,0.07367
138.554,9.4705,11572.74121,0.07373
138.654,9.47869,11573.27344,0.0738
138.754,9.48712,11575.15234,0.07386
138.854,9.4955,11574.76855,0.07393
138.954,9.50356,11574.72949,0.07399
139.054,9.512,11579.10449,0.07406
139.154,9.52037,11579.07129,0.07413
139.254,9.52869,11579.44141,0.07419
139.354,9.537,11582.15723,0.07426
139.454,9.54544,11585.51172,0.07432
139.554,9.55387,11584.69727,0.07439
139.654,9.56194,11586.16016,0.07445
139.754,9.57037,11588.51562,0.07452
139.854,9.57869,11587.19141,0.07459
139.954,9.58669,11588.36328,0.07465
140.054,9.59544,11596.53027,0.07472
140.154,9.60387,11597.18359,0.07478
140.254,9.61212,11594.27246,0.07485
140.354,9.62037,11595.26367,0.07491
140.454,9.62862,11596.9541,0.07498
