Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
14.1,1.17456,7403.93555,0.00098
14.2,1.18269,7464.96484,0.00099
14.3,1.19106,7526.18896,0.00101
14.4,1.19931,7587.7085,0.00102
14.5,1.20756,7646.28418,0.00105
14.6,1.216,7709.22998,0.00107
14.7,1.2245,7771.5835,0.0011
14.8,1.23287,7826.10498,0.00112
14.9,1.24094,7883.80273,0.00115
15,1.24931,7940.05225,0.0012
15.1,1.25787,7990.69775,0.00126
15.2,1.26581,8034.43799,0.00134
15.3,1.27425,8083.31543,0.00144
15.4,1.28275,8129.13916,0.00153
15.5,1.291,8165.48535,0.00165
15.6,1.29944,8203.35254,0.00179
15.7,1.30787,8233.33008,0.00195
15.8,1.31612,8249.11133,0.00214
15.9,1.32412,8262.18555,0.00239
16,1.3325,8236.78809,0.00283
16.1,1.34125,8178.83105,0.00344
16.2,1.34937,8125.79248,0.00408
16.3,1.35787,8083.31689,0.00468
16.4,1.36625,8045.90039,0.00527
16.5,1.37425,8017.59277,0.00581
16.6,1.38269,8013.62109,0.00631
16.7,1.391,8010.26758,0.00678
16.8,1.39937,8002.97021,0.00722
16.9,1.40762,8007.14209,0.00765
17,1.41612,8009.56201,0.00807
17.1,1.42456,8007.68652,0.00848
17.2,1.43269,8011.8418,0.00889
17.3,1.44112,8012.42529,0.00928
17.4,1.44944,8013.99951,0.00965
17.5,1.4575,8012.97412,0.01001
17.6,1.466,8022.6665,0.01036
17.7,1.4745,8028.88867,0.01071
17.8,1.48294,8019.39893,0.01106
17.9,1.49106,8011.92676,0.01139
18,1.49931,8002.91211,0.01169
18.1,1.50775,7993.77637,0.012
18.2,1.51575,7982.50195,0.0123
18.3,1.52431,7974.85938,0.01261
18.4,1.53294,7962.8916,0.0129
18.5,1.54112,7935.64453,0.01318
18.6,1.54931,7906.08398,0.01344
18.7,1.55781,7869.37402,0.01366
18.8,1.56612,7822.51074,0.01387
18.9,1.57425,7784.2832,0.01404
19,1.58262,7747.29688,0.01419
19.1,1.59112,7719.14062,0.01432
19.2,1.59919,7699.45752,0.01443
19.3,1.60781,7688.03369,0.01455
19.4,1.61631,7676.98145,0.01465
19.5,1.62437,7656.75098,0.01475
19.6,1.63262,7648.00586,0.01485
19.7,1.64087,7633.87305,0.01494
19.8,1.64931,7616.2832,0.01502
19.9,1.65762,7611.64355,0.0151
20,1.66619,7601.70508,0.01516
20.1,1.67456,7590.32764,0.01522
20.2,1.68256,7582.54834,0.01528
20.3,1.69106,7579.94727,0.01533
20.4,1.69944,7580.07178,0.01539
20.5,1.70762,7574.20801,0.01544
20.6,1.71606,7577.29248,0.0155
20.7,1.7245,7583.39111,0.01556
20.8,1.73287,7584.1123,0.01561
20.9,1.74106,7592.71143,0.01566
